testId,method,arraySize,subsetSize,repetitionId,beginTestTicks,endTestTicks,elapsedTicks,elapsedMilliseconds
0,heap,10000,619,9,638896093625811014,638896093625860739,49725,4.9725
0,sorting,10000,619,10,638896093625865015,638896093625915222,50207,5.0207
0,heap,10000,619,10,638896093625919160,638896093625967096,47936,4.7936
0,sorting,10000,619,11,638896093625970585,638896093626018898,48313,4.8313
0,heap,10000,619,11,638896093626022106,638896093626069557,47451,4.7451
0,sorting,10000,619,12,638896093626072783,638896093626119818,47035,4.7035
0,heap,10000,619,12,638896093626122946,638896093626170051,47105,4.7105
0,sorting,10000,619,13,638896093626173248,638896093626218432,45184,4.5184
0,heap,10000,619,13,638896093626221478,638896093626266140,44662,4.4662
0,sorting,10000,619,14,638896093626269538,638896093626318528,48990,4.899
0,heap,10000,619,14,638896093626322194,638896093626378730,56536,5.6536
0,sorting,10000,619,15,638896093626383575,638896093626433563,49988,4.9988
0,heap,10000,619,15,638896093626437682,638896093626487414,49732,4.9732
0,sorting,10000,619,16,638896093626491251,638896093626539451,48200,4.82
0,heap,10000,619,16,638896093626542526,638896093626590008,47482,4.7482
0,sorting,10000,619,17,638896093626593438,638896093626640513,47075,4.7075
0,heap,10000,619,17,638896093626643619,638896093626690600,46981,4.6981
0,sorting,10000,619,18,638896093626693579,638896093626740213,46634,4.6634
0,heap,10000,619,18,638896093626743220,638896093626788869,45649,4.5649
0,sorting,10000,619,19,638896093626791737,638896093626836619,44882,4.4882
0,heap,10000,619,19,638896093626839420,638896093626887660,48240,4.824
0,sorting,10000,619,20,638896093626891508,638896093626939992,48484,4.8484
0,heap,10000,619,20,638896093626943638,638896093626992094,48456,4.8456
0,sorting,100000,11,1,638896093627000070,638896093627471749,471679,47.1679
0,heap,100000,11,1,638896093627473896,638896093627952821,478925,47.8925
0,sorting,100000,11,2,638896093627955618,638896093628187194,231576,23.1576
0,heap,100000,11,2,638896093628189048,638896093628428453,239405,23.9405
0,sorting,100000,11,3,638896093628430883,638896093628662813,231930,23.193
0,heap,100000,11,3,638896093628664552,638896093628899839,235287,23.5287
0,sorting,100000,11,4,638896093628902580,638896093629134303,231723,23.1723
0,heap,100000,11,4,638896093629136079,638896093629368095,232016,23.2016
0,sorting,100000,11,5,638896093629370506,638896093629615734,245228,24.5228
0,heap,100000,11,5,638896093629618084,638896093629851452,233368,23.3368
0,sorting,100000,11,6,638896093629853572,638896093630024580,171008,17.1008
0,heap,100000,11,6,638896093630026350,638896093630121016,94666,9.4666
0,sorting,100000,11,7,638896093630122353,638896093630219474,97121,9.7121
0,heap,100000,11,7,638896093630220598,638896093630318315,97717,9.7717
0,sorting,100000,11,8,638896093630320560,638896093630417475,96915,9.6915
0,heap,100000,11,8,638896093630419228,638896093630512504,93276,9.3276
0,sorting,100000,11,9,638896093630514025,638896093630607497,93472,9.3472
0,heap,100000,11,9,638896093630608626,638896093630701811,93185,9.3185
0,sorting,100000,11,10,638896093630702856,638896093630799165,96309,9.6309
0,heap,100000,11,10,638896093630801154,638896093630901991,100837,10.0837
0,sorting,100000,11,11,638896093630904054,638896093631001964,97910,9.791
0,heap,100000,11,11,638896093631003427,638896093631098658,95231,9.5231
0,sorting,100000,11,12,638896093631099747,638896093631193123,93376,9.3376
0,heap,100000,11,12,638896093631194180,638896093631287365,93185,9.3185
0,sorting,100000,11,13,638896093631288345,638896093631386034,97689,9.7689
0,heap,100000,11,13,638896093631388279,638896093631484487,96208,9.6208
0,sorting,100000,11,14,638896093631486296,638896093631580270,93974,9.3974
0,heap,100000,11,14,638896093631581860,638896093631675646,93786,9.3786
0,sorting,100000,11,15,638896093631676792,638896093631770061,93269,9.3269
0,heap,100000,11,15,638896093631771126,638896093631867190,96064,9.6064
0,sorting,100000,11,16,638896093631868872,638896093631959980,91108,9.1108
0,heap,100000,11,16,638896093631961411,638896093632057049,95638,9.5638
0,sorting,100000,11,17,638896093632058710,638896093632152304,93594,9.3594
0,heap,100000,11,17,638896093632153641,638896093632247235,93594,9.3594
0,sorting,100000,11,18,638896093632248281,638896093632341247,92966,9.2966
0,heap,100000,11,18,638896093632342247,638896093632441882,99635,9.9635
0,sorting,100000,11,19,638896093632443937,638896093632537439,93502,9.3502
0,heap,100000,11,19,638896093632539077,638896093632632959,93882,9.3882
0,sorting,100000,11,20,638896093632634072,638896093632727359,93287,9.3287
0,heap,100000,11,20,638896093632728567,638896093632822213,93646,9.3646
0,sorting,100000,19,1,638896093632823624,638896093632924260,100636,10.0636
0,heap,100000,19,1,638896093632926282,638896093633020361,94079,9.4079
0,sorting,100000,19,2,638896093633022072,638896093633116125,94053,9.4053
0,heap,100000,19,2,638896093633117265,638896093633210588,93323,9.3323
0,sorting,100000,19,3,638896093633211716,638896093633305761,94045,9.4045
0,heap,100000,19,3,638896093633306997,638896093633407762,100765,10.0765
0,sorting,100000,19,4,638896093633409914,638896093633503035,93121,9.3121
0,heap,100000,19,4,638896093633504527,638896093633598502,93975,9.3975
0,sorting,100000,19,5,638896093633599655,638896093633693050,93395,9.3395
0,heap,100000,19,5,638896093633694150,638896093633787006,92856,9.2856
0,sorting,100000,19,6,638896093633788531,638896093633889333,100802,10.0802
0,heap,100000,19,6,638896093633891689,638896093633984876,93187,9.3187
0,sorting,100000,19,7,638896093633986489,638896093634079886,93397,9.3397
0,heap,100000,19,7,638896093634081019,638896093634175097,94078,9.4078
0,sorting,100000,19,8,638896093634176208,638896093634303863,127655,12.7655
0,heap,100000,19,8,638896093634307329,638896093634435119,127790,12.779
